url,site,category,sentence_id,sentence,manual_label
https://www.delfi.lv/sports/17012608/basketbols/120123151/latvijas-3x3-basketbolistes-piedzivo-lielu-vilsanos-eiropas-kausa-kvalifikacija,delfi.lv,Sports,1,"DelfiViedokļiBasketbols17.06.2026 19:17:56Latvijas 3x3 basketbolistes piedzīvo lielu vilšanos Eiropas kausa kvalifikācijā  (1)LETAFoto: FIBASeko Delfi GoogleLatvijas sieviešu 3x3 basketbola izlase, kurā spēlē Marta Leimane, Marta Miščenko, Digna Strautmane un Ketija Vihmane, trešdien Rumānijā izšķirīgajā cīņā piekāpās Zviedrijai un neiekļuva Eiropas kausa finālturnīrā.Latvijas izlase zaudēja ar 13:15.Sešus punktus guva Miščenko, četrus - Strautmane, divus punktus - Vihmane un vienu punktu - Leimane.Pretiniecēm pa pieciem punktiem sakrāja Amanda Tiveniusa un Emma Jūhansone, bet četrus punktus guva Tova Sabela, katrai iemetot arī pa vienam tālmetienam.B grupas spēlēs latvietes ar 13:10 pieveica Grieķiju, ar 18:14 - Lielbritāniju un ar 16:13 - Austriju, ieņemot pirmo vietu grupā.Zviedrietes A grupā pagarinājumā ar 11:9 uzvarēja Lietuvu un ar 12:7 - Rumāniju, bet ar 12:16 piekāpās Ukrainai, kā arī ar 20:4 sagrāva Dāniju, ieņemot otro vietu grupā.Eiropas kausa finālturnīrā iekļūst divas Rumānijas turnīra vienības.",neutral
https://www.delfi.lv/sports/17012608/basketbols/120123151/latvijas-3x3-basketbolistes-piedzivo-lielu-vilsanos-eiropas-kausa-kvalifikacija,delfi.lv,Sports,2,"Pirms Latvijas izlases spēles vietu finālturnīrā nodrošināja Ukraina, kas ar 16:15 pieveica Austriju.Pirms pusotras nedēļas izlase, Leimanes vietā spēlējot Paulai Ciršai, Pasaules kausā iekļuva astotdaļfinālā, kas Latvijas sieviešu izlasei ir līdz šim augstākais sasniegums.Finālturnīram jau iepriekš bija kvalificējušās desmit izlases - pašreizējā Eiropas čempione Nīderlande, sacensību rīkotāja Beļģija, kā arī Spānija, Francija, Vācija, Polija un Čehija pēc ranga un kvalifikācijas turnīru uzvarētājas Ungārija, Slovēnija un Azerbaidžāna.Vīriešu turnīrā garantēta vieta Eiropas kausa finālturnīrā ir pašreizējai čempionei Lietuvai, mājiniecei Beļģijai, pēc ranga - Serbijai, Francijai, Nīderlandei, Vācijai un Pasaules kausa ieguvējai Latvijai, kā arī kvalifikācijas turnīru uzvarētājām Itālijai, Īrijai un Šveicei.Eiropas čempionāta finālturnīrs no 11.",neutral
https://www.delfi.lv/sports/17012608/basketbols/120123151/latvijas-3x3-basketbolistes-piedzivo-lielu-vilsanos-eiropas-kausa-kvalifikacija,delfi.lv,Sports,3,"septembrim notiks Beļģijas pilsētā Antverpenē.3x3 basketbolsSeko ""Delfi"" arī Instagram un YouTube profilā – pievienojies, lai uzzinātu svarīgāko un interesantāko pirmais!Publikācijas saturs vai tās jebkāda apjoma daļa ir aizsargāts autortiesību objekts Autortiesību likuma izpratnē, un tā izmantošana bez izdevēja atļaujas ir aizliegta.",neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,1,"Skip to footerC, 18.06.2026.KomandaReklāmaNoteikumiPar TVNET+RUSŠodienas redaktors:Renāte Bergarenate.berga@tvnetgrupa.lvIesūti ziņu!APOLLO.LVIZKLAIDESLAVENĪBASIndra Salceviča atklāti par jautājumu, kas kavē jaunu attiecību veidošanuApollo.lv2026.",neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,2,"jūnijs 09:27 Indra Salceviča Foto: Indras Salcevičas privātais arhīvsModes dizainere Indra Salceviča labprāt ļautos jauna romāna sākumam, tomēr aktuāls paliek jautājums par stiprā dzimuma spēju uzņemties vadību un spert pirmo soli attiecību veidošanā, viņa atklāj raidījumā ""Burku studijā!"".Diskusijas gaitā realitātes seriāla ""Ģimene burkā"" attiecību eksperts Kristaps Ozoliņš izteicās, ka mūsdienās vientulība dāmām bieži vien ir pašu izvēle, jo iespēju satikties netrūkst.Salceviča tam oponēja ar skarbu realitāti – viņa labprāt dotos uz tikšanos, taču pietrūkst iniciatīvas no vīriešu puses.Pēc tam, kad Kristaps ar smaidu norādīja, ka šī ir zaļā gaisma vīriešiem viņu uzrunāt, dizainere piebilda: ""Es jau labprāt aizietu uz randiņu, ja aicinātu.",surprise
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,3,"Ja neaicina, tad ko man darīt - skriet pakaļ?""Lai gan šobrīd Indra ir viena, dizainere ir pilnībā atvērta mīlestībai un nav atmetusi cerību sastapt dzīvesbiedru, ar kuru kopā dalīt ikdienu.Vērtējot situāciju ""iepazīšanās tirgū"", Indra velk paralēles ar konkurenci, kur lieliskas sievietes sacenšas par nelielu skaitu brīvu vīriešu.",neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,4,"Tas liekot domāt par kastingu vai preces izvēli veikalā.Runājot par potenciālā kavaliera tēlu, Salceviča norāda, ka viņai nav konkrēta vizuālā šablona.",neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,5,"Taču viņa noteikti meklē personību ar stabilu dzīves pamatu un briedumu un atsakās no vīrieša ""pāraudzināšanas"" lomas.Indra joprojām dod priekšroku klasiskam uzmanības apliecināšanas modelim, kur vīrietis uzrunā sievieti klātienē, veidojot dabisku dialogu: ""Es esmu konservatīva un uzskatu, ka vīrietim ir jāuzlūdz uz deju.",neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,6,Mēs sākam dejot un sajūtam – būs ritmā vai nebūs?,neutral
https://www.apollo.lv/8492539/indra-salcevica-atklati-par-jautajumu-kas-kave-jaunu-attiecibu-veidosanu,apollo.lv,Slavenības,7,"Tas ir ļoti elementāri saprotams!""Šādam redzējumam piekrīt arī Kristaps, retoriski vaicājot - ja vīrietis nespēj saņemties pat vienkāršam uzaicinājumam, uz kādu nākotni vispār var cerēt?Komentāri TēmasIndra SalcevičaMīlestībaģimene burkākristaps ozoliņšrandiņiJaunākās ziņas ĀrvalstīsVIDEO ⟩ Aiz priekškara: Baltija Krievijas propagandā dzīvo divās realitātēs Sabiedrība un politikaREDZI TĀLĀK!",neutral
